Time,Open,High,Low,Close,Volume
30.06.2006 20:00:00.000,110.720,111.830,110.600,111.810,153360000000.00
01.07.2006 20:00:00.000,111.810,111.810,111.810,111.810,0.00
02.07.2006 20:00:00.000,111.810,111.910,111.600,111.740,9473000000.00
03.07.2006 20:00:00.000,111.710,111.760,111.310,111.640,102747000000.00
04.07.2006 20:00:00.000,111.640,112.120,111.440,111.710,145213000000.00
05.07.2006 20:00:00.000,111.710,112.320,111.450,112.260,139714000000.00
06.07.2006 20:00:00.000,112.240,112.360,111.470,112.190,167794000000.00
07.07.2006 20:00:00.000,112.150,112.580,111.780,112.270,144209000000.00
08.07.2006 20:00:00.000,112.270,112.270,112.270,112.270,0.00
09.07.2006 20:00:00.000,112.280,112.290,112.040,112.220,8665000000.00
10.07.2006 20:00:00.000,112.220,112.270,111.630,111.740,150513000000.00
11.07.2006 20:00:00.000,111.740,111.810,110.740,111.080,166983000000.00
12.07.2006 20:00:00.000,111.060,112.270,110.990,112.040,154487000000.00
13.07.2006 20:00:00.000,112.040,112.420,111.640,112.310,144439000000.00
14.07.2006 20:00:00.000,112.300,112.420,111.740,112.180,135346000000.00
15.07.2006 20:00:00.000,112.180,112.180,112.180,112.180,0.00
16.07.2006 20:00:00.000,112.230,112.390,112.170,112.300,4992000000.00
17.07.2006 20:00:00.000,112.330,112.370,111.490,111.910,114729000000.00
18.07.2006 20:00:00.000,111.890,113.010,111.830,112.900,142377000000.00
19.07.2006 20:00:00.000,112.920,113.470,112.440,112.770,131930000000.00
20.07.2006 20:00:00.000,112.780,112.850,109.650,110.560,220593000000.00
21.07.2006 20:00:00.000,110.560,111.450,110.500,111.350,168055000000.00
22.07.2006 20:00:00.000,111.350,111.350,111.350,111.350,0.00
23.07.2006 20:00:00.000,111.360,111.690,111.190,111.410,10756000000.00
24.07.2006 20:00:00.000,111.420,112.000,111.290,111.600,156088000000.00
25.07.2006 20:00:00.000,111.600,112.630,111.450,112.540,174125000000.00
26.07.2006 20:00:00.000,112.540,112.820,111.910,112.250,170644000000.00
27.07.2006 20:00:00.000,112.250,112.870,111.970,112.300,160000000000.00
28.07.2006 20:00:00.000,112.300,112.710,111.700,112.530,153268000000.00
29.07.2006 20:00:00.000,112.530,112.530,112.530,112.530,0.00
30.07.2006 20:00:00.000,112.520,112.800,112.470,112.640,4659000000.00
31.07.2006 20:00:00.000,112.670,112.680,111.710,112.180,156236000000.00
01.08.2006 20:00:00.000,112.180,112.260,111.100,111.380,163638000000.00
02.08.2006 20:00:00.000,111.380,111.960,110.880,111.160,159455000000.00
03.08.2006 20:00:00.000,111.160,111.620,110.740,111.230,167033000000.00
04.08.2006 20:00:00.000,111.240,112.220,111.180,111.810,156031000000.00
05.08.2006 20:00:00.000,111.810,111.810,111.810,111.810,0.00
06.08.2006 20:00:00.000,111.860,112.450,111.860,112.380,8836000000.00
07.08.2006 20:00:00.000,112.380,112.610,111.550,112.000,163672000000.00
08.08.2006 20:00:00.000,112.000,112.260,111.660,111.780,147914000000.00
09.08.2006 20:00:00.000,111.770,111.800,110.390,110.560,171340000000.00
10.08.2006 20:00:00.000,110.570,110.610,109.540,109.850,180460000000.00
11.08.2006 20:00:00.000,109.840,109.970,109.300,109.410,151888000000.00
12.08.2006 20:00:00.000,109.410,109.410,109.410,109.410,0.00
13.08.2006 20:00:00.000,109.460,109.490,109.320,109.370,5784000000.00
14.08.2006 20:00:00.000,109.370,109.820,109.150,109.370,132642000000.00
15.08.2006 20:00:00.000,109.370,109.750,109.020,109.620,150909000000.00
16.08.2006 20:00:00.000,109.660,110.090,109.380,109.970,155769000000.00
17.08.2006 20:00:00.000,109.980,110.700,109.680,110.420,142799000000.00
18.08.2006 20:00:00.000,110.410,110.830,110.280,110.480,116409000000.00
19.08.2006 20:00:00.000,110.480,110.480,110.480,110.480,0.00
20.08.2006 20:00:00.000,110.480,110.570,110.280,110.510,7390000000.00
21.08.2006 20:00:00.000,110.480,110.500,109.340,109.670,164545000000.00
22.08.2006 20:00:00.000,109.660,110.190,109.590,110.000,144355000000.00
23.08.2006 20:00:00.000,110.000,110.760,109.980,110.440,171800000000.00
24.08.2006 20:00:00.000,110.410,110.460,109.740,110.290,149974000000.00
25.08.2006 20:00:00.000,110.290,110.400,109.350,110.140,120272000000.00
26.08.2006 20:00:00.000,110.140,110.140,110.140,110.140,0.00
27.08.2006 20:00:00.000,110.140,110.250,109.620,109.860,11099000000.00
28.08.2006 20:00:00.000,109.860,110.810,109.770,110.640,143874000000.00
29.08.2006 20:00:00.000,110.610,111.600,110.470,111.430,164172000000.00
30.08.2006 20:00:00.000,111.430,111.780,110.360,110.660,112592000000.00
