@relation whatever

@attribute Open numeric
@attribute High numeric
@attribute Low numeric
@attribute Close numeric
@attribute Volume numeric
@attribute Range numeric
@attribute Change numeric
@attribute SP500 numeric
@attribute NIKKEI numeric
@attribute Class { Bear , Bull } 


@data
110.41 , 110.46 , 109.74 , 110.29 , 1.50E+11 , -0.72 , -0.000590261 , 1296.06 , 15960.62 , Bear 
110.29 , 110.4 , 109.35 , 110.14 , 1.20E+11 , -1.05 , -0.000591065 , 1295.09 , 15938.66 , Bear 
110.14 , 110.25 , 109.62 , 109.86 , 11099000000 , -0.63 , -0.001105477 , 1295.09 , 15938.66 , Bull 
109.86 , 110.81 , 109.77 , 110.64 , 1.44E+11 , 1.04 , 0.003072572 , 1301.78 , 15762.59 , Bull 
110.61 , 111.6 , 110.47 , 111.43 , 1.64E+11 , 1.13 , 0.003089963 , 1304.28 , 15890.56 , Bear 
111.43 , 111.78 , 110.36 , 110.66 , 1.13E+11 , -1.42 , -0.003011465 , 1305.37 , 15872.02 , Bear 
110.69 , 110.92 , 109.6 , 109.9 , 1.13E+11 , -1.32 , -0.002992973 , 1303.82 , 16140.76 , Bear 
109.91 , 110.05 , 109.18 , 109.81 , 1.44E+11 , -0.87 , -0.000355801 , 1311.01 , 16134.25 , Bear 
109.81 , 109.82 , 109.59 , 109.72 , 6894000000 , -0.23 , -0.000356093 , 1311.01 , 16134.25 , Bear 
109.76 , 109.81 , 108.76 , 109.43 , 1.17E+11 , -1.05 , -0.0011494 , 1311.01 , 16358.07 , Bull 
109.4 , 109.83 , 109.06 , 109.43 , 1.59E+11 , 0.77 , 0 , 1313.25 , 16385.96 , Bull 
109.43 , 110.28 , 109.41 , 110.07 , 1.81E+11 , 0.87 , 0.002532567 , 1300.26 , 16284.09 , Bull 
110.07 , 110.62 , 110.03 , 110.41 , 1.41E+11 , 0.59 , 0.001339443 , 1294.02 , 16012.41 , Bear 
110.45 , 110.75 , 109.46 , 109.67 , 1.43E+11 , -1.29 , -0.002920566 , 1298.92 , 16080.46 , Bear 
109.62 , 109.63 , 108.99 , 109.18 , 15875000000 , -0.64 , -0.001944753 , 1298.92 , 16080.46 , Bull 
109.18 , 110.41 , 109.08 , 110.18 , 1.27E+11 , 1.33 , 0.003959678 , 1299.54 , 15794.38 , Bull 
110.18 , 111.05 , 110.12 , 110.65 , 1.60E+11 , 0.93 , 0.00184865 , 1313 , 15719.34 , Bear 
110.64 , 110.72 , 109.88 , 110.55 , 1.37E+11 , -0.84 , -0.000392671 , 1318.07 , 15750.05 , Bull 
110.55 , 110.82 , 110.14 , 110.71 , 1.10E+11 , 0.68 , 0.000628104 , 1316.28 , 15942.39 , Bull 
110.7 , 111.49 , 110.36 , 111.34 , 1.40E+11 , 1.13 , 0.002464366 , 1319.66 , 15866.93 , Bull 
111.39 , 111.62 , 111.31 , 111.53 , 8927000000 , 0.31 , 0.000740485 , 1319.66 , 15866.93 , Bull 
111.55 , 111.69 , 111.14 , 111.53 , 1.18E+11 , 0.55 , 0 , 1321.18 , 15866.93 , Bull 
111.53 , 112.06 , 111.12 , 111.88 , 1.41E+11 , 0.94 , 0.001360755 , 1317.64 , 15874.28 , Bear 
111.89 , 112.01 , 110.97 , 111.06 , 1.50E+11 , -1.04 , -0.003194789 , 1325.18 , 15718.67 , Bull 
111.08 , 111.82 , 110.96 , 111.68 , 2.02E+11 , 0.86 , 0.002417736 , 1318.03 , 15834.23 , Bull 
111.67 , 112.67 , 110.75 , 112.39 , 3.44E+11 , 1.92 , 0.002752266 , 1314.78 , 15634.67 , Bear 
112.44 , 112.59 , 112.23 , 112.33 , 15849000000 , -0.36 , -0.000231912 , 1314.78 , 15634.67 , Bull 
112.3 , 112.59 , 112.08 , 112.33 , 6.66E+11 , 0.51 , 0 , 1326.37 , 15633.81 , Bull 
112.33 , 113.5 , 112.32 , 113.32 , 7.03E+11 , 1.18 , 0.003810807 , 1336.35 , 15557.45 , Bear 
113.32 , 113.44 , 112.84 , 112.98 , 7.22E+11 , -0.6 , -0.001304995 , 1336.59 , 15947.87 , Bull 
112.98 , 113.35 , 112.65 , 113.3 , 6.42E+11 , 0.7 , 0.001228339 , 1338.88 , 16024.85 , Bull 
113.31 , 114.02 , 112.92 , 113.74 , 1.47E+12 , 1.1 , 0.001683314 , 1335.85 , 16127.58 , Bear 
113.69 , 113.7 , 113.35 , 113.55 , 33991000000 , -0.35 , -0.000726085 , 1335.85 , 16127.58 , Bull 
113.53 , 114.36 , 113.42 , 114.22 , 1.57E+12 , 0.94 , 0.002555017 , 1331.32 , 16254.29 , Bull 
114.23 , 114.4 , 113.99 , 114.3 , 1.36E+12 , 0.41 , 0.000304075 , 1334.11 , 16242.09 , Bear 
114.3 , 114.42 , 113.57 , 113.96 , 1.52E+12 , -0.85 , -0.00129379 , 1350.2 , 16082.55 , Bear 
113.96 , 114.02 , 113.01 , 113.38 , 1.56E+12 , -1.01 , -0.002215988 , 1353.22 , 16449.33 , Bull 
113.38 , 114.02 , 113.06 , 113.88 , 1.20E+12 , 0.96 , 0.001911006 , 1349.59 , 16436.06 , Bear 
113.83 , 113.84 , 113.63 , 113.67 , 19278000000 , -0.21 , -0.000801598 , 1349.59 , 16436.06 , Bull 
113.67 , 114.31 , 113.55 , 114.07 , 9.46E+11 , 0.76 , 0.001525582 , 1350.66 , 16436.06 , Bull 
114.06 , 114.67 , 113.81 , 114.56 , 1.40E+12 , 0.86 , 0.001861563 , 1353.42 , 16477.25 , Bear 
114.55 , 114.76 , 114.2 , 114.44 , 1.12E+12 , -0.56 , -0.000455156 , 1349.95 , 16400.57 , Bull 
114.44 , 115.08 , 114.25 , 114.57 , 1.65E+12 , 0.83 , 0.000493064 , 1362.83 , 16368.81 , Bear 
114.57 , 114.9 , 113.85 , 114.1 , 1.93E+12 , -1.05 , -0.001785269 , 1365.62 , 16536.54 , Bull 
114.1 , 114.37 , 114.03 , 114.22 , 51193000000 , 0.34 , 0.000456511 , 1365.62 , 16536.54 , Bull 
114.22 , 115.36 , 113.74 , 115.26 , 1.76E+12 , 1.62 , 0.003936459 , 1369.06 , 16692.76 , Bull 
115.26 , 115.93 , 115.18 , 115.83 , 1.60E+12 , 0.75 , 0.002142441 , 1364.05 , 16611.59 , Bear 
115.83 , 115.98 , 115.24 , 115.31 , 1.61E+12 , -0.74 , -0.001954084 , 1365.8 , 16653 , Bear 
115.31 , 115.76 , 115.04 , 115.16 , 1.55E+12 , -0.72 , -0.000565316 , 1366.96 , 16551.36 , Bull 
115.16 , 115.98 , 114.96 , 115.92 , 1.62E+12 , 1.02 , 0.002856716 , 1368.6 , 16651.63 , Bear 
115.92 , 115.94 , 115.8 , 115.88 , 29163000000 , -0.14 , -0.000149886 , 1368.6 , 16651.63 , Bear 
115.88 , 115.99 , 115.05 , 115.59 , 1.40E+12 , -0.94 , -0.001088223 , 1377.02 , 16788.82 , Bear 
115.59 , 115.74 , 114.6 , 115.16 , 1.61E+12 , -1.14 , -0.001618608 , 1377.38 , 16780.47 , Bull 
115.18 , 116.24 , 114.91 , 116.13 , 1.96E+12 , 1.33 , 0.00364277 , 1382.22 , 16699.3 , Bear 
116.14 , 116.15 , 114.84 , 115.29 , 1.53E+12 , -1.31 , -0.003152787 , 1389.08 , 16811.6 , Bull 
115.31 , 115.75 , 115.08 , 115.6 , 1.32E+12 , 0.67 , 0.001166195 , 1377.34 , 16669.07 , Bull 
115.6 , 115.85 , 115.59 , 115.75 , 20482000000 , 0.26 , 0.000563166 , 1377.34 , 16669.07 , Bull 
115.74 , 116.68 , 115.53 , 116.43 , 1.60E+12 , 1.15 , 0.002543898 , 1377.93 , 16351.85 , Bull 
116.46 , 116.85 , 116.4 , 116.77 , 1.72E+12 , 0.45 , 0.001266383 , 1377.94 , 16399.39 , Bull 
116.77 , 117 , 116.55 , 116.82 , 1.08E+12 , 0.45 , 0.000185922 , 1367.81 , 16375.26 , Bull 
116.8 , 117.4 , 116.78 , 117.23 , 1.14E+12 , 0.62 , 0.001521563 , 1367.34 , 16350.02 , Bull 
117.22 , 118.36 , 117.21 , 118.35 , 1.12E+12 , 1.15 , 0.004129497 , 1364.3 , 16350.02 , Bear 
118.35 , 118.4 , 118.21 , 118.26 , 21623000000 , -0.19 , -0.000330388 , 1364.3 , 16350.02 , Bear 
118.26 , 118.29 , 117.44 , 117.62 , 1.22E+12 , -0.85 , -0.0023567 , 1379.78 , 16364.76 , Bear 
117.62 , 117.98 , 117.06 , 117.38 , 1.54E+12 , -0.92 , -0.00088707 , 1382.84 , 16393.41 , Bull 
117.38 , 117.8 , 116.86 , 117.75 , 1.43E+12 , 0.94 , 0.001366811 , 1385.72 , 16215.74 , Bull 
117.75 , 118.29 , 117.31 , 118 , 1.15E+12 , 0.98 , 0.000921092 , 1378.33 , 16198.57 , Bear 
118.01 , 118.19 , 117.63 , 117.99 , 6.24E+11 , -0.56 , -3.68062E-05 , 1380.9 , 16112.43 , Bear 
118 , 118.15 , 117.91 , 117.92 , 4460000000 , -0.24 , -0.000257731 , 1380.9 , 16112.43 , Bull 
117.92 , 118.91 , 117.84 , 118.8 , 1.37E+12 , 1.07 , 0.00322897 , 1384.42 , 16022.49 , Bull 
118.8 , 119.41 , 118.7 , 118.82 , 5.38E+12 , 0.71 , 7.31074E-05 , 1393.22 , 16289.55 , Bull 
118.82 , 119.56 , 118.82 , 119.11 , 5.31E+12 , 0.74 , 0.001058677 , 1396.57 , 16243.47 , Bear 
119.11 , 119.14 , 118.46 , 118.81 , 5.23E+12 , -0.68 , -0.001095229 , 1399.76 , 16163.87 , Bull 
118.81 , 119.38 , 118.71 , 119.08 , 4.99E+12 , 0.67 , 0.00098583 , 1401.2 , 16091.73 , Bull 
119.09 , 119.24 , 119.03 , 119.16 , 4.82E+11 , 0.21 , 0.000291669 , 1401.2 , 16091.73 , Bear 
119.16 , 119.46 , 118.54 , 119.1 , 5.01E+12 , -0.92 , -0.000218733 , 1400.5 , 15725.94 , Bear 
119.1 , 119.51 , 118.65 , 118.85 , 5.84E+12 , -0.86 , -0.000912575 , 1402.81 , 15734.14 , Bear 
118.85 , 119.04 , 118.2 , 118.74 , 4.54E+12 , -0.84 , -0.000402141 , 1406.09 , 15914.23 , Bull 
118.74 , 119.15 , 118.54 , 119.1 , 4.10E+12 , 0.61 , 0.001314717 , 1406.09 , 15914.23 , Bull 
119.1 , 119.68 , 119.1 , 119.6 , 5.00E+12 , 0.58 , 0.001819418 , 1400.95 , 15734.6 , Bull 
