@relation whatever

@attribute Open numeric
@attribute High numeric
@attribute Low numeric
@attribute Close numeric
@attribute Volume numeric
@attribute Range numeric
@attribute Change numeric
@attribute SP500 numeric
@attribute FTSE numeric
@attribute Class { Bear , Bull } 


@data
1.2163 , 1.2243 , 1.2156 , 1.2229 , 1.93343E+11 , 0.0087 , 0.002421657 , 1297.52 , 5915.2 , Bear 
1.223 , 1.2254 , 1.2185 , 1.2221 , 1.94404E+11 , -0.0069 , -0.000284201 , 1298.82 , 5902.6 , Bull 
1.2221 , 1.2281 , 1.2158 , 1.2257 , 2.31188E+11 , 0.0123 , 0.001277442 , 1292.99 , 5860 , Bull 
1.2257 , 1.2327 , 1.2256 , 1.2281 , 2.1368E+11 , 0.0071 , 0.000849545 , 1296.06 , 5869.1 , Bull 
1.2281 , 1.2341 , 1.227 , 1.2282 , 1.78826E+11 , 0.0071 , 3.53617E-05 , 1295.09 , 5878.6 , Bull 
1.2282 , 1.2345 , 1.2279 , 1.2337 , 20614000000 , 0.0066 , 0.001940472 , 1295.09 , 5878.6 , Bear 
1.2337 , 1.2346 , 1.2214 , 1.2222 , 1.94119E+11 , -0.0132 , -0.004067285 , 1301.78 , 5878.6 , Bear 
1.2222 , 1.2236 , 1.216 , 1.2216 , 1.96097E+11 , -0.0076 , -0.000213255 , 1304.28 , 5888.3 , Bull 
1.2216 , 1.2357 , 1.2184 , 1.234 , 2.44263E+11 , 0.0173 , 0.004386136 , 1305.37 , 5929.3 , Bull 
1.2339 , 1.2525 , 1.2321 , 1.2477 , 2.10434E+11 , 0.0204 , 0.004795015 , 1303.82 , 5906.1 , Bull 
1.2471 , 1.2589 , 1.2461 , 1.2511 , 2.46975E+11 , 0.0128 , 0.001181849 , 1311.01 , 5949.1 , Bull 
1.2511 , 1.2545 , 1.2511 , 1.2534 , 6732000000 , 0.0034 , 0.000797666 , 1311.01 , 5949.1 , Bear 
1.253 , 1.2584 , 1.25 , 1.2503 , 1.09505E+11 , -0.0084 , -0.001075459 , 1311.01 , 5986.6 , Bear 
